time,value
2014-03-01,25.7
2014-06-01,22.0
2014-09-01,20.6
2014-12-01,31.7
2015-03-01,26.4
2015-06-01,22.1
2015-09-01,19.6
2015-12-01,31.9
2016-03-01,25.7
2016-06-01,21.2
2016-09-01,20.8
2016-12-01,32.3
2017-03-01,25.3
2017-06-01,21.6
2017-09-01,20.7
2017-12-01,32.5
2018-03-01,26.72
2018-06-01,21.84
2018-09-01,20.23
2018-12-01,31.22
2019-03-01,26.9
2019-06-01,21.4
2019-09-01,19.3
2019-12-01,32.3
2020-03-01,84.5
2020-06-01,0.9
2020-09-01,3.8
2020-12-01,10.8
